"","hash","evaluator","answer","evaluator_type","start_time","end_time","duration","fluency","adequacy","z_score","z_score_fluency","z_score_adequacy","id","source","en","uk"
"1","4773e1ba7746bccde9e600ac3abb715ab61868ac","Expert 1",78,"Student","2025-02-28T16:12:45.079Z","2025-02-28T16:13:34.393Z",49.314,NA,NA,-0.195097484174963,NA,NA,"da9f7ffe4eeb87a5008f","CCAligned","appeal to those who united all those who opposed Magyarization Ruthenians.","тим закликом, який об’єднував усіх, хто виступав проти мадяризації русинів."
"2","4773e1ba7746bccde9e600ac3abb715ab61868ac","Expert 2",90,"Student","2025-02-28T18:38:48.895Z","2025-02-28T18:39:22.224Z",33.329,NA,NA,0.7248069846723,NA,NA,"da9f7ffe4eeb87a5008f","CCAligned","appeal to those who united all those who opposed Magyarization Ruthenians.","тим закликом, який об’єднував усіх, хто виступав проти мадяризації русинів."
"3","4773e1ba7746bccde9e600ac3abb715ab61868ac","Expert 3",80,"Student","2025-02-28T18:14:51.754Z","2025-02-28T18:43:35.969Z",1724.215,NA,NA,0.927345523941096,NA,NA,"da9f7ffe4eeb87a5008f","CCAligned","appeal to those who united all those who opposed Magyarization Ruthenians.","тим закликом, який об’єднував усіх, хто виступав проти мадяризації русинів."
"4","2af92ba457bcf166cd9f1bad78f0a04782f2978f","Expert 1",17,"Student","2025-02-28T15:53:37.395Z","2025-02-28T15:53:44.732Z",7.337,NA,NA,-3.53811297271812,NA,NA,"f083fc6cf0fd375526f2","CCAligned","Partners","Контактори"
"5","2af92ba457bcf166cd9f1bad78f0a04782f2978f","Expert 3",1,"Student","2025-02-28T18:33:16.318Z","2025-02-28T18:33:45.644Z",29.326,NA,NA,-2.3263221120815,NA,NA,"f083fc6cf0fd375526f2","CCAligned","Partners","Контактори"
"6","2af92ba457bcf166cd9f1bad78f0a04782f2978f","Expert 2",45,"Student","2025-02-28T18:33:43.018Z","2025-02-28T18:33:47.409Z",4.391,NA,NA,-0.604901878876071,NA,NA,"f083fc6cf0fd375526f2","CCAligned","Partners","Контактори"
"7","627af443c5ade76c682f9363c7499cf370207476","Expert 2",99,"Student","2025-03-01T08:52:55.693Z","2025-03-01T08:53:03.409Z",7.716,NA,NA,0.990748757381974,NA,NA,"b11c42aa3557f3022982","CCMatrix","How many eggs can be consumed per week: unexpected conclusions","Скільки можна вживати яєць на тиждень: неочікувані висновки"
"8","627af443c5ade76c682f9363c7499cf370207476","Expert 1",95,"Student","2025-03-01T22:16:53.164Z","2025-03-01T22:17:04.875Z",11.711,NA,NA,0.736562570009197,NA,NA,"b11c42aa3557f3022982","CCMatrix","How many eggs can be consumed per week: unexpected conclusions","Скільки можна вживати яєць на тиждень: неочікувані висновки"
"9","627af443c5ade76c682f9363c7499cf370207476","Expert 3",67,"Student","2025-03-01T22:33:43.983Z","2025-03-01T22:34:01.279Z",17.296,NA,NA,0.391931862317125,NA,NA,"b11c42aa3557f3022982","CCMatrix","How many eggs can be consumed per week: unexpected conclusions","Скільки можна вживати яєць на тиждень: неочікувані висновки"
"10","20af7bb6971f087b4f24782699aa158f0187514a","Expert 2",34,"Student","2025-03-01T09:28:01.671Z","2025-03-01T09:28:06.538Z",4.867,NA,NA,-0.929941823299006,NA,NA,"0aac4bd9de9f0cd0596b","CCMatrix","Its truly said that ,”A book is the only gift that can be opened again and again.”","Правий був поет: «Талант — єдина новина, що завжди нова»."
